Date,Open,High,Low,Close,Volume
01/08/2016,"7.67","7.68","7.39","7.41","39,847,128"
01/07/2016,"7.69","7.74","7.47","7.57","64,530,320"
01/06/2016,"8.09","8.13","7.79","7.88","44,934,400"
01/05/2016,"8.25","8.36","8.13","8.22","49,027,240"
01/04/2016,"8.07","8.15","8.01","8.09","35,807,628"
12/31/2015,"8.34","8.37","8.24","8.24","14,852,808"
12/30/2015,"8.41","8.49","8.35","8.35","18,034,280"
12/29/2015,"8.29","8.45","8.27","8.42","20,366,048"
12/28/2015,"8.21","8.29","8.09","8.29","14,202,812"
12/24/2015,"8.24","8.31","8.23","8.29","5,244,924"
12/23/2015,"8.25","8.30","8.23","8.26","12,252,556"
12/22/2015,"8.25","8.32","8.18","8.23","13,001,076"
12/21/2015,"8.12","8.23","8.05","8.22","28,421,492"
12/18/2015,"8.11","8.19","8.03","8.04","39,589,696"
12/17/2015,"8.31","8.39","8.16","8.17","25,416,176"
12/16/2015,"8.26","8.32","8.19","8.29","23,635,496"
12/15/2015,"8.24","8.30","8.19","8.24","30,729,416"
12/14/2015,"8.13","8.19","8.05","8.14","27,634,580"
12/11/2015,"8.16","8.22","8.11","8.12","22,732,152"
12/10/2015,"8.20","8.29","8.18","8.25","23,659,692"
12/09/2015,"8.39","8.44","8.09","8.18","37,267,484"
12/08/2015,"8.18","8.43","8.12","8.39","31,448,932"
12/07/2015,"8.44","8.44","8.25","8.28","33,358,716"
12/04/2015,"8.11","8.45","8.11","8.44","45,875,680"
12/03/2015,"8.19","8.28","8.07","8.11","24,665,620"
12/02/2015,"8.20","8.29","8.11","8.13","29,424,016"
12/01/2015,"8.00","8.20","7.99","8.19","40,949,720"
11/30/2015,"7.86","7.97","7.85","7.93","32,724,320"
11/27/2015,"7.80","7.87","7.76","7.85","8,700,808"
11/25/2015,"7.78","7.87","7.76","7.78","13,829,904"
11/24/2015,"7.73","7.86","7.70","7.79","19,542,768"
11/23/2015,"7.91","7.91","7.70","7.73","24,255,004"
11/20/2015,"7.84","7.89","7.79","7.85","23,974,348"
11/19/2015,"7.79","7.86","7.72","7.78","25,407,212"
11/18/2015,"7.60","7.77","7.52","7.76","35,021,432"
11/17/2015,"7.62","7.67","7.57","7.60","25,704,940"
11/16/2015,"7.55","7.61","7.49","7.60","34,428,032"
11/13/2015,"7.61","7.64","7.41","7.45","29,294,004"
11/12/2015,"7.61","7.68","7.57","7.60","29,108,068"
11/11/2015,"7.71","7.76","7.60","7.63","62,012,640"
11/10/2015,"7.75","7.79","7.54","7.70","55,226,000"
11/09/2015,"7.81","7.88","7.74","7.85","49,256,920"
11/06/2015,"7.61","7.99","7.46","7.89","117,227,116"
11/05/2015,"7.04","7.06","6.91","6.93","47,879,880"
11/04/2015,"7.11","7.16","6.98","7.01","44,226,280"
11/03/2015,"7.13","7.17","7.05","7.13","37,676,920"
11/02/2015,"7.12","7.18","7.07","7.18","19,008,788"
10/30/2015,"7.00","7.14","6.94","7.09","30,115,860"
10/29/2015,"7.05","7.13","6.91","6.92","32,716,708"
10/28/2015,"7.16","7.17","7.05","7.17","21,703,408"
10/27/2015,"7.08","7.15","7.08","7.11","20,826,712"
10/26/2015,"7.15","7.17","7.05","7.12","24,743,740"
10/23/2015,"7.16","7.20","7.06","7.15","38,177,428"
10/22/2015,"6.93","7.12","6.92","7.10","30,688,364"
10/21/2015,"6.99","7.03","6.84","6.85","38,668,196"
10/20/2015,"6.92","6.98","6.87","6.94","26,482,456"
10/19/2015,"6.99","7.02","6.87","6.95","29,471,120"
10/16/2015,"6.88","7.03","6.86","6.97","44,839,600"
10/15/2015,"6.85","7.00","6.78","6.86","52,604,600"
10/14/2015,"6.61","6.95","6.60","6.84","61,219,040"
10/13/2015,"6.54","6.64","6.51","6.60","29,844,284"
10/12/2015,"6.53","6.63","6.48","6.59","22,758,908"
10/09/2015,"6.51","6.57","6.40","6.52","42,324,840"
10/08/2015,"6.48","6.56","6.37","6.54","46,006,960"
10/07/2015,"6.45","6.57","6.35","6.51","31,015,196"
10/06/2015,"6.29","6.47","6.26","6.44","45,442,120"
10/05/2015,"6.24","6.43","6.21","6.36","48,202,280"
10/02/2015,"6.01","6.20","5.95","6.20","38,614,556"
10/01/2015,"6.16","6.18","5.87","6.04","48,929,720"
09/30/2015,"5.98","6.17","5.95","6.16","55,638,160"
09/29/2015,"5.89","5.94","5.81","5.93","38,073,492"
09/28/2015,"5.90","5.94","5.79","5.83","39,558,304"
09/25/2015,"5.93","6.02","5.85","5.90","36,969,072"
09/24/2015,"5.72","5.92","5.63","5.86","38,244,124"
09/23/2015,"5.73","5.79","5.71","5.75","16,163,396"
09/22/2015,"5.76","5.80","5.69","5.72","22,835,692"
09/21/2015,"5.83","5.90","5.80","5.88","28,186,464"
09/18/2015,"5.75","5.87","5.71","5.82","32,641,020"
09/17/2015,"5.88","5.93","5.82","5.83","26,871,076"
09/16/2015,"5.73","5.81","5.68","5.78","17,350,736"
09/15/2015,"5.68","5.77","5.66","5.74","32,797,648"
09/14/2015,"5.69","5.71","5.64","5.67","19,246,544"
09/11/2015,"5.58","5.70","5.56","5.66","30,158,432"
09/10/2015,"5.53","5.72","5.50","5.65","35,707,584"
09/09/2015,"5.69","5.74","5.55","5.56","28,939,396"
09/08/2015,"5.57","5.69","5.55","5.67","23,844,872"
09/04/2015,"5.47","5.56","5.44","5.44","28,800,980"
09/03/2015,"5.64","5.66","5.56","5.57","26,255,752"
09/02/2015,"5.54","5.56","5.45","5.55","34,404,260"
09/01/2015,"5.46","5.55","5.35","5.39","35,340,880"
08/31/2015,"5.66","5.70","5.60","5.62","21,935,240"
08/28/2015,"5.66","5.72","5.62","5.68","32,094,528"
08/27/2015,"5.51","5.66","5.48","5.66","46,376,320"
08/26/2015,"5.24","5.46","5.20","5.45","61,497,760"
08/25/2015,"5.41","5.43","5.07","5.07","62,268,440"
08/24/2015,"5.07","5.46","5.00","5.18","68,228,280"
08/21/2015,"5.50","5.59","5.36","5.37","38,266,556"
08/20/2015,"5.68","5.71","5.51","5.54","42,693,320"
08/19/2015,"5.76","5.83","5.69","5.75","24,927,368"
08/18/2015,"5.81","5.85","5.73","5.77","28,708,220"
08/17/2015,"5.88","5.88","5.78","5.85","27,387,892"
08/14/2015,"5.88","5.92","5.84","5.89","21,465,044"
08/13/2015,"5.94","5.95","5.87","5.88","27,688,584"
08/12/2015,"5.82","5.97","5.82","5.93","38,408,048"
08/11/2015,"5.86","5.97","5.86","5.92","43,500,840"
08/10/2015,"5.71","5.99","5.67","5.95","66,230,564"
08/07/2015,"5.62","5.84","5.47","5.75","140,524,672"
08/06/2015,"5.13","5.17","5.03","5.11","65,567,564"
08/05/2015,"5.22","5.22","5.13","5.15","23,462,608"
08/04/2015,"5.06","5.11","5.04","5.09","26,010,056"
08/03/2015,"5.03","5.08","4.96","5.07","39,713,112"
07/31/2015,"5.03","5.03","4.96","4.99","21,836,844"
07/30/2015,"4.98","5.06","4.98","5.01","19,017,916"
07/29/2015,"4.92","5.03","4.90","4.99","23,268,132"
07/28/2015,"4.84","4.97","4.79","4.93","19,830,932"
07/27/2015,"4.81","4.88","4.77","4.83","19,242,080"
07/24/2015,"4.95","4.95","4.84","4.86","18,884,396"
07/23/2015,"4.86","4.99","4.85","4.91","16,991,488"
07/22/2015,"4.91","4.91","4.79","4.85","35,647,276"
07/21/2015,"4.92","5.02","4.92","4.95","14,972,040"
07/20/2015,"5.02","5.04","4.91","4.93","18,841,036"
