Date,Open,High,Low,Close,Volume
01/09/2017,"25.88","27.00","25.88","26.82","91,624,920"
01/06/2017,"25.71","26.06","25.30","25.78","82,285,680"
01/05/2017,"26.13","26.46","25.26","25.44","98,429,524"
01/04/2017,"25.85","26.38","25.38","26.10","119,922,040"
01/03/2017,"26.10","26.59","24.85","25.50","150,199,516"
12/30/2016,"27.84","27.98","26.58","26.69","121,293,040"
12/29/2016,"26.23","27.87","25.70","27.86","217,536,720"
12/28/2016,"29.90","29.98","27.17","27.31","229,576,484"
12/27/2016,"28.02","29.34","27.81","29.33","119,427,360"
12/23/2016,"26.60","27.46","26.57","27.45","64,769,320"
12/22/2016,"26.71","27.22","26.63","26.78","71,861,040"
12/21/2016,"26.41","26.49","25.93","26.46","57,613,440"
12/20/2016,"26.15","26.53","26.03","26.29","84,805,720"
12/19/2016,"24.93","25.61","24.75","25.41","74,465,720"
12/16/2016,"24.96","25.18","24.43","25.10","108,952,720"
12/15/2016,"24.23","24.99","24.15","24.68","74,654,600"
12/14/2016,"23.14","24.28","22.89","24.11","98,398,156"
12/13/2016,"22.52","23.07","22.51","22.79","38,779,496"
12/12/2016,"22.46","22.49","21.89","22.40","60,133,200"
12/09/2016,"23.55","23.57","22.68","22.96","38,231,196"
12/08/2016,"23.80","24.16","23.26","23.37","38,154,408"
12/07/2016,"23.21","23.83","23.03","23.77","48,080,360"
12/06/2016,"23.05","23.43","22.89","23.35","49,879,520"
12/05/2016,"22.50","23.15","22.25","22.97","60,228,520"
12/02/2016,"21.56","22.20","21.28","22.11","47,829,200"
12/01/2016,"23.03","23.04","21.19","21.91","103,552,280"
11/30/2016,"23.40","23.54","23.03","23.05","44,050,200"
11/29/2016,"23.50","23.61","23.13","23.31","44,456,760"
11/28/2016,"23.47","23.69","23.40","23.53","27,873,480"
11/25/2016,"23.61","23.78","23.35","23.54","19,556,312"
11/23/2016,"23.43","23.81","23.19","23.49","44,323,440"
11/22/2016,"23.33","23.43","23.10","23.41","33,036,928"
11/21/2016,"23.52","23.59","23.10","23.25","43,643,480"
11/18/2016,"23.10","23.58","22.95","23.34","57,606,000"
11/17/2016,"23.08","23.70","22.66","23.10","83,298,960"
11/16/2016,"21.84","23.14","21.59","22.91","98,798,564"
11/15/2016,"21.07","21.86","20.98","21.55","62,609,040"
11/14/2016,"22.02","22.05","20.91","20.91","134,879,640"
11/11/2016,"19.88","22.19","19.63","21.99","217,534,532"
11/10/2016,"17.87","17.88","16.69","16.94","86,928,156"
11/09/2016,"17.31","17.73","17.18","17.49","45,653,000"
11/08/2016,"17.89","17.94","17.63","17.79","42,988,440"
11/07/2016,"17.39","17.93","17.38","17.82","48,758,080"
11/04/2016,"16.88","17.18","16.64","16.89","32,877,960"
11/03/2016,"17.27","17.29","16.66","16.99","30,966,372"
11/02/2016,"17.40","17.63","17.16","17.19","29,584,924"
11/01/2016,"17.86","17.95","17.07","17.26","47,322,520"
10/31/2016,"17.70","17.91","17.69","17.79","25,238,872"
10/28/2016,"17.76","18.03","17.61","17.64","29,085,496"
