Date,Open,High,Low,Close,Volume
01/07/2019,"156.54","158.86","156.11","158.09","52,059,328"
01/04/2019,"152.18","157.00","151.74","156.23","74,709,320"
01/03/2019,"152.60","153.26","149.49","149.82","74,820,234"
01/02/2019,"150.99","155.75","150.88","154.88","58,576,672"
12/31/2018,"154.47","154.98","152.71","154.26","53,015,312"
12/28/2018,"154.01","155.59","151.72","152.97","77,856,633"
12/27/2018,"150.57","153.18","147.08","153.05","85,824,336"
12/26/2018,"145.12","152.54","144.09","152.46","98,982,062"
12/24/2018,"146.14","147.98","143.46","143.50","56,163,289"
12/21/2018,"153.06","154.09","146.72","147.57","141,129,406"
12/20/2018,"154.16","155.87","150.39","152.29","99,002,141"
12/19/2018,"158.24","160.72","153.34","154.53","81,856,461"
12/18/2018,"158.67","159.95","157.04","158.42","63,642,121"
12/17/2018,"160.41","161.67","156.17","157.43","74,834,078"
12/14/2018,"163.19","163.81","160.70","161.08","56,547,422"
12/13/2018,"166.06","166.82","164.03","165.10","46,377,859"
12/12/2018,"166.06","167.60","164.96","165.05","53,779,992"
12/11/2018,"165.66","165.77","162.23","163.61","59,058,301"
12/10/2018,"161.11","163.78","159.41","163.07","73,960,758"
12/07/2018,"166.13","167.12","160.86","161.38","80,432,180"
12/06/2018,"162.46","166.91","161.77","166.89","71,715,531"
12/04/2018,"171.38","171.91","165.52","165.72","70,594,734"
12/03/2018,"173.10","173.31","169.51","172.33","50,771,699"
11/30/2018,"168.38","169.47","167.54","169.37","36,722,762"
11/29/2018,"168.00","169.26","166.82","168.15","44,885,711"
11/28/2018,"164.62","168.70","163.47","168.70","70,140,992"
11/27/2018,"162.00","163.85","161.18","163.44","36,608,059"
11/26/2018,"161.44","162.97","160.76","162.89","42,012,633"
11/23/2018,"159.09","160.84","159.09","159.21","23,503,730"
11/21/2018,"161.29","161.97","159.23","160.37","42,965,840"
11/20/2018,"158.37","161.38","157.13","159.16","102,652,797"
11/19/2018,"166.74","166.90","161.54","162.06","67,280,477"
11/16/2018,"166.49","168.31","165.78","167.50","65,390,680"
11/15/2018,"164.84","168.54","163.46","168.09","73,254,352"
11/14/2018,"168.09","168.70","164.25","165.20","75,270,711"
11/13/2018,"167.15","169.48","166.00","166.47","64,128,078"
11/12/2018,"170.33","170.64","166.18","166.33","62,578,367"
11/09/2018,"172.83","173.25","170.16","171.52","50,602,711"
11/08/2018,"174.76","175.30","173.63","174.46","40,296,539"
11/07/2018,"172.25","175.58","171.87","175.58","51,169,609"
11/06/2018,"168.93","171.19","168.72","170.24","34,410,391"
11/05/2018,"169.61","169.66","167.08","168.96","39,573,527"
11/02/2018,"171.53","172.55","168.22","169.38","75,966,781"
11/01/2018,"170.08","172.24","168.78","172.06","52,706,820"
10/31/2018,"168.55","171.25","168.54","169.82","73,828,641"
10/30/2018,"162.80","166.04","162.02","165.92","92,583,969"
10/29/2018,"169.16","169.86","160.09","163.23","111,871,906"
10/26/2018,"165.24","169.96","164.23","166.66","130,970,898"
10/25/2018,"167.99","172.08","167.16","171.06","83,481,070"
10/24/2018,"173.12","173.36","165.04","165.34","102,997,398"
10/23/2018,"170.79","174.13","168.82","173.27","77,566,969"
10/22/2018,"174.06","175.25","172.59","173.91","52,909,281"
10/19/2018,"174.39","176.07","172.39","173.02","82,923,727"
10/18/2018,"176.60","176.68","172.44","173.18","82,486,211"
10/17/2018,"178.14","178.26","175.47","177.29","66,987,641"
10/16/2018,"174.02","177.65","173.70","177.22","71,979,688"
10/15/2018,"173.69","174.04","171.56","172.21","64,885,262"
10/12/2018,"173.99","174.86","170.93","174.32","102,078,398"
10/11/2018,"171.04","173.40","167.81","169.60","143,084,500"
10/10/2018,"178.53","178.62","171.50","171.73","114,471,102"
10/09/2018,"179.20","181.02","178.75","179.63","49,097,953"
10/08/2018,"179.37","180.64","176.93","179.05","66,864,477"
10/05/2018,"182.39","182.97","178.43","180.15","83,325,633"
10/04/2018,"185.22","185.32","181.06","182.38","80,557,281"
10/03/2018,"186.52","186.97","185.66","185.95","29,128,680"
10/02/2018,"185.95","187.18","185.32","185.75","25,618,609"
10/01/2018,"186.82","187.53","185.70","186.17","27,371,301"
09/28/2018,"185.25","186.28","184.97","185.79","28,076,840"
09/27/2018,"185.04","186.49","184.92","185.83","33,113,270"
09/26/2018,"184.25","185.99","183.91","184.27","36,210,566"
09/25/2018,"183.78","184.28","183.18","184.14","25,277,520"
09/24/2018,"182.05","183.96","181.30","183.89","34,945,602"
09/21/2018,"185.27","185.48","183.48","183.71","38,605,352"
09/20/2018,"183.95","184.97","183.52","184.72","33,295,820"
09/19/2018,"182.86","183.30","181.51","182.70","31,843,381"
09/18/2018,"181.52","183.73","181.40","182.84","31,877,350"
09/17/2018,"183.66","183.81","181.17","181.34","33,071,199"
09/14/2018,"184.66","184.95","183.26","183.99","31,224,131"
09/13/2018,"183.67","184.88","183.64","184.53","31,133,189"
09/12/2018,"182.87","182.98","181.01","182.58","36,203,969"
09/11/2018,"180.97","183.42","180.52","183.12","30,116,461"
09/10/2018,"182.12","182.25","180.73","181.72","26,131,980"
09/07/2018,"180.53","182.67","180.44","181.11","46,629,500"
09/06/2018,"183.54","183.75","180.58","181.81","46,091,398"
09/05/2018,"185.55","185.55","182.82","183.45","42,623,328"
09/04/2018,"186.10","186.40","184.85","185.85","29,063,539"
08/31/2018,"186.18","187.18","185.98","186.65","28,653,250"
08/30/2018,"186.41","187.52","185.79","186.41","29,315,449"
08/29/2018,"184.91","186.84","184.86","186.74","29,175,590"
08/28/2018,"184.80","185.02","184.22","184.61","20,277,039"
08/27/2018,"183.43","184.34","183.11","184.34","29,343,551"
08/24/2018,"181.40","182.63","181.36","182.48","23,136,109"
08/23/2018,"180.77","182.05","180.50","180.80","25,776,170"
08/22/2018,"179.96","181.27","179.75","181.06","18,042,381"
08/21/2018,"180.26","181.44","180.13","180.36","26,258,660"
08/20/2018,"180.28","180.33","179.00","179.70","24,938,961"
08/17/2018,"179.36","180.31","178.27","179.86","36,092,641"
08/16/2018,"180.57","180.99","179.47","179.82","27,711,760"
08/15/2018,"180.09","180.58","178.12","179.23","58,528,020"
08/14/2018,"181.01","181.66","180.04","181.45","20,913,020"
08/13/2018,"180.85","182.01","180.24","180.32","26,089,199"
08/10/2018,"180.68","181.22","179.84","180.52","33,818,461"
08/09/2018,"181.94","182.63","181.64","181.91","18,852,900"
08/08/2018,"181.55","182.35","181.06","182.02","22,680,750"
08/07/2018,"181.63","182.14","181.26","181.80","29,895,660"
08/06/2018,"179.97","181.19","179.74","181.14","24,808,760"
08/03/2018,"179.80","180.09","179.08","180.08","28,934,449"
08/02/2018,"175.87","179.74","175.79","179.53","47,178,230"
08/01/2018,"176.87","177.65","176.10","177.12","37,101,930"
07/31/2018,"175.75","177.13","174.82","176.45","47,285,141"
07/30/2018,"177.66","177.73","174.27","175.11","60,192,992"
07/27/2018,"181.26","181.31","176.60","177.62","59,456,090"
07/26/2018,"180.35","180.92","179.81","180.05","40,873,488"
07/25/2018,"180.36","182.93","180.29","182.82","36,022,078"
07/24/2018,"181.39","182.05","179.56","180.30","36,900,281"
07/23/2018,"178.45","179.64","177.74","179.56","22,184,721"
07/20/2018,"179.57","180.17","178.79","178.99","35,907,621"
07/19/2018,"179.34","179.88","178.82","179.03","31,094,150"
07/18/2018,"180.28","180.44","179.38","179.93","23,220,840"
07/17/2018,"177.30","180.65","177.28","180.27","31,034,080"
07/16/2018,"179.64","179.95","178.88","179.18","21,405,311"
07/13/2018,"179.42","179.90","178.95","179.61","28,067,961"
07/12/2018,"177.21","179.46","177.08","179.46","27,930,119"
07/11/2018,"175.96","177.07","175.80","176.42","30,280,551"
07/10/2018,"177.41","177.72","176.71","177.32","23,902,490"
07/09/2018,"176.49","177.23","175.82","177.19","27,362,061"
07/06/2018,"173.31","175.74","173.00","175.61","37,005,566"
07/05/2018,"171.91","173.06","171.03","172.92","31,626,199"
07/03/2018,"173.41","173.45","170.63","170.80","25,512,711"
07/02/2018,"170.04","172.85","169.67","172.80","31,770,029"
06/29/2018,"172.00","172.92","171.40","171.65","36,408,461"
06/28/2018,"169.52","171.77","169.17","171.19","46,407,711"
06/27/2018,"172.77","173.58","169.61","169.73","52,843,500"
06/26/2018,"171.99","173.06","171.37","172.07","39,008,152"
06/25/2018,"173.76","173.99","169.81","171.37","77,799,727"
06/22/2018,"176.31","176.37","174.69","175.32","30,073,189"
06/21/2018,"177.69","177.88","175.37","175.71","43,469,441"
06/20/2018,"176.79","177.98","176.65","177.25","33,038,039"
06/19/2018,"174.26","176.04","173.71","176.00","38,235,992"
06/18/2018,"175.53","176.65","174.94","176.50","31,633,189"
06/15/2018,"176.98","177.33","176.11","176.98","49,615,727"
06/14/2018,"176.62","177.89","176.50","177.60","35,915,980"
06/13/2018,"176.09","177.14","175.43","175.82","37,858,578"
06/12/2018,"175.15","176.00","174.96","175.83","22,511,830"
06/11/2018,"174.30","175.34","174.28","174.91","22,319,711"
06/08/2018,"173.57","174.88","173.18","174.44","31,780,350"
06/07/2018,"175.91","175.93","173.55","174.43","39,600,320"
06/06/2018,"175.03","175.89","174.14","175.86","25,036,650"
06/05/2018,"174.69","175.13","174.07","174.84","24,779,279"
06/04/2018,"173.16","174.34","173.07","174.30","20,459,631"
06/01/2018,"170.88","172.84","170.87","172.74","45,543,328"
05/31/2018,"170.13","171.20","169.63","170.07","35,670,953"
05/30/2018,"169.63","170.48","169.22","170.18","22,665,840"
05/29/2018,"168.91","169.92","167.96","168.97","41,220,473"
05/25/2018,"169.54","170.33","169.21","169.72","27,460,539"
05/24/2018,"169.56","169.85","167.84","169.55","27,696,539"
05/23/2018,"166.90","169.62","166.88","169.60","26,557,840"
05/22/2018,"169.15","169.45","167.88","168.18","19,477,721"
05/21/2018,"168.73","169.50","167.68","168.40","22,954,570"
05/18/2018,"167.71","168.26","167.21","167.46","26,217,939"
05/17/2018,"168.40","169.61","167.51","168.33","27,480,160"
05/16/2018,"168.10","169.37","168.01","168.98","22,941,160"
05/15/2018,"168.40","168.50","166.98","167.87","49,361,641"
05/14/2018,"169.84","170.82","169.47","169.75","21,821,750"
05/11/2018,"169.35","169.86","168.72","169.46","24,688,850"
05/10/2018,"168.43","169.74","168.29","169.62","27,067,600"
05/09/2018,"166.40","168.00","165.78","167.88","29,122,721"
05/08/2018,"165.83","166.43","164.86","166.07","26,040,170"
05/07/2018,"165.64","166.78","165.51","166.24","32,500,150"
05/04/2018,"161.11","165.25","160.98","164.87","41,543,238"
05/03/2018,"161.08","162.40","159.22","161.80","60,337,129"
05/02/2018,"163.10","163.57","161.63","161.82","38,646,840"
05/01/2018,"160.52","162.80","160.14","162.78","36,513,527"
04/30/2018,"162.48","163.48","160.54","160.94","35,615,273"
04/27/2018,"164.35","164.41","161.17","162.09","51,043,406"
04/26/2018,"160.72","162.53","160.18","161.99","43,005,527"
04/25/2018,"158.80","159.31","156.47","158.65","52,089,320"
04/24/2018,"162.62","162.91","157.39","158.46","70,256,750"
04/23/2018,"163.08","163.73","161.02","161.89","33,040,648"
04/20/2018,"164.49","164.61","161.73","162.30","49,197,141"
04/19/2018,"165.65","165.99","164.34","164.91","34,705,688"
04/18/2018,"166.12","167.00","165.31","166.44","29,573,881"
04/17/2018,"164.19","166.46","163.91","166.10","35,536,090"
04/16/2018,"162.45","163.19","161.48","162.60","28,180,779"
04/13/2018,"163.01","163.26","160.67","161.37","44,604,887"
